Name	DOB (D/M/Y)	Address	County	Ticket Y/N	Ticket (D/L)	Exp. in Years	Work Type	Medical Cond.	ID
Jonas Ayers	03/29/2002	2561 Ridgecrest St, Denton, Texas, 76205	Denton	Y	03/23/2024, Collin	7	Self Employed	Vision Inpaired	102345
John Smith	09/26/1987	442 Maple Street, Houston, Texas, 77093	Harris	N		17	Government Employee	Fit	203456
Aiden Anderson	06/07/2005	871 9th Street West, San Antonio, Texas, 78221	Bexar	Y	05/09/2025, Dallas	2	Student	Upper Extremity Impairment	304567
Franco Frank	09/11/1968	9299 Taylor Street, San Antonio, Texas, 78240	Bexar	N		33	Business Owner	Locomotor Disability	405678
Peter Parker	01/01/2001	10 Cedar Lane, San Juan, Texas, 78589	Hidalgo	Y	01/29/2026, Tarrant	4	Private Sector Employee	Fit	506789
Michael Johnson	12/14/1990	8832 Pine St, Dallas, Texas, 75201	Dallas	N		12	Private Sector Employee	Upper Extremity Impairment	607890
Chris Martinez	05/22/1985	1201 Sunset Blvd, El Paso, Texas, 79902	El Paso	Y	08/14/2023, El Paso	18	Government Employee	Fit	708901
David Lee	07/30/1998	4421 Oak Dr, Austin, Texas, 78701	Travis	N		6	Self Employed	Fit	809012
Kevin White	02/11/1975	998 River Rd, Fort Worth, Texas, 76102	Tarrant	Y	11/02/2022, Denton	25	Business Owner	Locomotor Disability	910123
Brian Hall	10/05/2000	210 Maple Ave, Plano, Texas, 75074	Collin	N		5	Student	Fit	111234
Jason Allen	03/18/1992	711 Cedar St, Lubbock, Texas, 79401	Lubbock	Y	04/12/2025, Lubbock	10	Private Sector Employee	Upper Extremity Impairment	222345
Anthony Young	08/27/1983	550 Lakeview Dr, Irving, Texas, 75060	Dallas	N		20	Government Employee	Fit	333456
Mark Hernandez	11/09/1995	321 West St, Corpus Christi, Texas, 78401	Nueces	Y	02/20/2024, Nueces	8	Self Employed	Vision Inpaired	444567
Steven King	06/15/1970	89 Hilltop Rd, Amarillo, Texas, 79101	Potter	N		35	Business Owner	Fit	555678
Daniel Wright	09/02/2003	743 Elm St, McKinney, Texas, 75069	Collin	N		3	Student	Fit	666789
Joshua Scott	01/25/1991	998 Walnut St, Garland, Texas, 75040	Dallas	Y	06/18/2025, Rockwall	11	Private Sector Employee	Fit	777890
Andrew Green	04/19/1988	567 Park Ave, Frisco, Texas, 75034	Collin	N		15	Government Employee	Fit	888901
Justin Adams	07/07/1997	123 Creek Rd, Waco, Texas, 76701	McLennan	Y	03/30/2024, McLennan	7	Self Employed	Vision Inpaired	999012
Eric Nelson	12/03/1980	456 Sunset Dr, Killeen, Texas, 76541	Bell	N		22	Private Sector Employee	Fit	123456
Brandon Carter	02/28/2004	789 Pine Ln, Denton, Texas, 76201	Denton	N		2	Student	Fit	234567
Tyler Mitchell	05/16/1993	147 Oakwood Dr, Round Rock, Texas, 78664	Williamson	Y	09/12/2023, Travis	9	Private Sector Employee	Fit	345678
Zachary Perez	10/11/1986	258 Birch St, Pasadena, Texas, 77502	Harris	N		16	Government Employee	Fit	456789
Aaron Roberts	03/09/1978	369 Willow Rd, Mesquite, Texas, 75149	Dallas	Y	01/17/2025, Kaufman	27	Business Owner	Locomotor Disability	567890
Kyle Turner	08/22/1999	951 Aspen St, Carrollton, Texas, 75006	Dallas	N		6	Student	Fit	678901
Sean Phillips	06/13/1984	753 Cypress Ave, Midland, Texas, 79701	Midland	N		18	Private Sector Employee	Fit	789012
Nathan Campbell	11/01/1996	852 Redwood St, Odessa, Texas, 79761	Ector	Y	07/04/2024, Ector	7	Self Employed	Locomotor Disability	890123
Logan Parker	04/27/2002	963 Spruce St, Abilene, Texas, 79601	Taylor	N		4	Student	Fit	901234
Ethan Evans	09/14/1989	741 Magnolia Dr, Wichita Falls, Texas, 76301	Wichita	N		14	Government Employee	Fit	112233
Noah Edwards	02/06/1994	852 Poplar Ln, Longview, Texas, 75601	Gregg	Y	12/08/2023, Gregg	10	Private Sector Employee	Upper Extremity Impairment	223344
Caleb Collins	07/23/2001	369 Sycamore St, Tyler, Texas, 75701	Smith	N		5	Student	Fit	334455
Dylan Stewart	01/12/1982	147 Dogwood Dr, Bryan, Texas, 77801	Brazos	N		21	Government Employee	Fit	445566
Hunter Sanchez	03/03/1990	258 Juniper Rd, College Station, Texas, 77840	Brazos	Y	05/19/2025, Brazos	12	Private Sector Employee	Upper Extremity Impairment	556677
Austin Morris	06/29/1998	741 Hickory St, San Angelo, Texas, 76901	Tom Green	N		6	Self Employed	Fit	667788
Connor Rogers	10/18/2003	852 Fir St, Temple, Texas, 76501	Bell	N		3	Student	Fit	778899
Jordan Reed	12/07/1987	963 Palm Dr, Beaumont, Texas, 77701	Jefferson	Y	02/11/2024, Jefferson	16	Private Sector Employee	Fit	889900
Adam Cook	08/01/1976	159 Olive St, Port Arthur, Texas, 77640	Jefferson	N		28	Business Owner	Fit	990011
Evan Morgan	05/25/1995	357 Maple Dr, Baytown, Texas, 77520	Harris	N		9	Government Employee	Fit	135790
Blake Bell	09/30/2000	456 Cherry Ln, League City, Texas, 77573	Galveston	Y	06/22/2025, Galveston	5	Student	Fit	246801
Lucas Murphy	11/19/1992	753 Peach St, Conroe, Texas, 77301	Montgomery	N		11	Private Sector Employee	Vision Inpaired	357912
Cole Bailey	02/15/1981	951 Plum Rd, The Woodlands, Texas, 77380	Montgomery	N		20	Government Employee	Fit	468023
Gavin Rivera	04/08/1997	159 Cedar Ln, Pearland, Texas, 77581	Brazoria	Y	03/14/2024, Brazoria	7	Self Employed	Fit	579134
Isaac Cooper	07/11/2004	357 Walnut Rd, Sugar Land, Texas, 77478	Fort Bend	N		2	Student	Fit	680245
Owen Richardson	01/20/1989	456 Pine Ave, Missouri City, Texas, 77459	Fort Bend	N		13	Private Sector Employee	Fit	791356
Liam Cox	10/10/1993	753 Elm Ln, Katy, Texas, 77449	Harris	Y	08/09/2025, Harris	10	Private Sector Employee	Fit	802467
Mason Howard	03/05/2001	951 Oak Rd, Allen, Texas, 75002	Collin	N		4	Student	Fit	913578
Elijah Ward	06/21/1985	159 Birch Ln, Flower Mound, Texas, 75028	Denton	N		18	Government Employee	Fit	124689
James Torres	09/09/1979	357 Maple Rd, Lewisville, Texas, 75057	Denton	Y	01/28/2024, Denton	24	Business Owner	Fit	235790
Benjamin Peterson	12/02/1996	456 Cedar Ave, Grapevine, Texas, 76051	Tarrant	N		7	Private Sector Employee	Vision Inpaired	346801
Alexander Gray	08/17/2002	753 Pine Ln, Euless, Texas, 76039	Tarrant	N		3	Student	Fit	457912
Henry Ramirez	05/13/1991	951 Oak Ln, Bedford, Texas, 76021	Tarrant	Y	04/06/2025, Tarrant	11	Private Sector Employee	Fit	568023
Jack James	02/27/1988	159 Spruce Rd, Hurst, Texas, 76053	Tarrant	N		15	Government Employee	Fit	679134
Sebastian Watson	07/14/1999	357 Willow Ln, North Richland Hills, Texas, 76180	Tarrant	N		6	Self Employed	Locomotor Disability	780245
Avery Brooks	10/29/2003	456 Birch Rd, Keller, Texas, 76248	Tarrant	N		2	Student	Fit	891356
Samuel Kelly	04/03/1984	753 Elm Rd, Burleson, Texas, 76028	Johnson	Y	09/17/2023, Johnson	17	Private Sector Employee	Fit	902467
Joseph Sanders	01/08/1977	951 Cedar Rd, Cleburne, Texas, 76031	Johnson	N		29	Business Owner	Fit	113579
Thomas Price	06/12/1990	258 Oak St, Sherman, Texas, 75090	Grayson	N		12	Private Sector Employee	Vision Inpaired	224680
Charles Bennett	09/03/1982	147 Pine Rd, Denison, Texas, 75020	Grayson	Y	02/15/2024, Grayson	20	Government Employee	Fit	335791
Patrick Wood	11/25/1998	369 Cedar Ln, Greenville, Texas, 75401	Hunt	N		6	Self Employed	Fit	446802
Jeremy Barnes	04/07/2001	852 Maple St, Paris, Texas, 75460	Lamar	N		4	Student	Upper Extremity Impairment	557913
Aaron Ross	08/19/1974	963 Birch Rd, Texarkana, Texas, 75501	Bowie	Y	06/01/2025, Bowie	30	Business Owner	Fit	668024
Christian Henderson	01/30/1993	741 Walnut St, Marshall, Texas, 75670	Harrison	N		11	Private Sector Employee	Fit	779135
Travis Coleman	05/22/1986	159 Elm Rd, Mount Pleasant, Texas, 75455	Titus	N		14	Government Employee	Fit	880246
Garrett Jenkins	10/11/1999	357 Oak Ln, Sulphur Springs, Texas, 75482	Hopkins	Y	03/10/2024, Hopkins	5	Self Employed	Vision Inpaired	991357
Cody Perry	02/16/2002	456 Pine St, Palestine, Texas, 75801	Anderson	N		3	Student	Fit	102468
Derek Powell	07/08/1987	753 Maple Rd, Jacksonville, Texas, 75766	Cherokee	N		15	Private Sector Employee	Fit	213579
Shawn Long	12/21/1978	951 Cedar St, Nacogdoches, Texas, 75961	Nacogdoches	Y	11/19/2023, Nacogdoches	26	Business Owner	Fit	324680
Brent Patterson	03/14/1995	159 Birch Ln, Lufkin, Texas, 75901	Angelina	N		8	Private Sector Employee	Fit	435791
Marcus Hughes	06/02/1989	357 Walnut Rd, Huntsville, Texas, 77320	Walker	N		13	Government Employee	Fit	546802
Trevor Flores	09/27/2000	456 Oak Ln, Livingston, Texas, 77351	Polk	Y	04/25/2025, Polk	5	Student	Vision Inpaired	657913
Colin Washington	01/18/1997	753 Pine Rd, Cleveland, Texas, 77327	Liberty	N		7	Self Employed	Fit	768024
Jared Butler	08/06/1983	951 Maple Ln, Liberty, Texas, 77575	Liberty	N		18	Private Sector Employee	Fit	879135
Spencer Simmons	11/23/1991	159 Cedar Rd, Angleton, Texas, 77515	Brazoria	Y	07/30/2024, Brazoria	10	Private Sector Employee	Fit	980246
Dustin Foster	05/09/1976	357 Birch St, Freeport, Texas, 77541	Brazoria	N		28	Business Owner	Fit	101357
Calvin Gonzales	10/04/1988	456 Walnut Ln, Lake Jackson, Texas, 77566	Brazoria	N		14	Government Employee	Locomotor Disability	212468
Riley Bryant	02/11/2003	753 Oak Rd, Clute, Texas, 77531	Brazoria	N		3	Student	Fit	323579
Victor Diaz	07/19/1994	258 Pine St, Edinburg, Texas, 78539	Hidalgo	N		9	Private Sector Employee	Fit	434680
Luis Herrera	03/11/1981	147 Oak Rd, McAllen, Texas, 78501	Hidalgo	Y	05/21/2024, Hidalgo	22	Government Employee	Fit	545791
Ricardo Vega	12/05/1999	369 Maple Ln, Brownsville, Texas, 78520	Cameron	N		5	Self Employed	Vision Inpaired	656802
Oscar Chavez	08/28/2002	852 Cedar St, Harlingen, Texas, 78550	Cameron	N		3	Student	Fit	767913
Fernando Ruiz	01/14/1987	963 Birch Rd, Weslaco, Texas, 78596	Hidalgo	Y	09/03/2025, Hidalgo	15	Private Sector Employee	Fit	878024
Julian Castillo	06/23/1996	741 Walnut St, Pharr, Texas, 78577	Hidalgo	N		7	Private Sector Employee	Fit	989135
Martin Ortiz	10/02/1979	159 Elm Rd, Mission, Texas, 78572	Hidalgo	N		23	Business Owner	Fit	100246
Adrian Mendoza	04/18/1992	357 Oak Ln, San Benito, Texas, 78586	Cameron	Y	02/10/2024, Cameron	11	Government Employee	Locomotor Disability	211357
Roberto Guerrero	09/07/1985	456 Pine St, Mercedes, Texas, 78570	Hidalgo	N		16	Private Sector Employee	Fit	322468
Miguel Salinas	02/26/2001	753 Maple Rd, Donna, Texas, 78537	Hidalgo	N		4	Student	Fit	433579
Hector Rios	11/30/1973	951 Cedar Ln, Rio Grande City, Texas, 78582	Starr	Y	07/14/2023, Starr	30	Business Owner	Vision Inpaired	544680
Jorge Aguilar	05/12/1990	159 Birch Rd, Roma, Texas, 78584	Starr	N		12	Private Sector Employee	Fit	655791
Angel Navarro	08/03/1997	357 Walnut St, Kingsville, Texas, 78363	Kleberg	N		6	Self Employed	Fit	766802
Ruben Maldonado	01/29/1984	456 Oak Rd, Alice, Texas, 78332	Jim Wells	Y	03/08/2025, Jim Wells	18	Government Employee	Fit	877913
Eduardo Cantu	07/15/1993	753 Pine Ln, Robstown, Texas, 78380	Nueces	N		9	Private Sector Employee	Fit	988024
Sergio Fuentes	10/21/2000	951 Maple St, Portland, Texas, 78374	San Patricio	N		5	Student	Vision Inpaired	109135
Alberto Peña	03/17/1988	159 Cedar Rd, Aransas Pass, Texas, 78336	San Patricio	Y	11/22/2024, San Patricio	14	Private Sector Employee	Fit	210246
Gilbert Lozano	06/09/1977	357 Birch Ln, Rockport, Texas, 78382	Aransas	N		26	Business Owner	Vision Inpaired	321357
Raul Trevino	09/25/1995	456 Walnut Rd, Beeville, Texas, 78102	Bee	N		8	Government Employee	Fit	432468
Manuel Solis	02/13/1982	753 Oak Ln, Cuero, Texas, 77954	DeWitt	Y	04/01/2024, DeWitt	20	Private Sector Employee	Fit	543579
Arturo Pacheco	11/08/1998	951 Pine Rd, Victoria, Texas, 77901	Victoria	N		6	Self Employed	Fit	654680
Diego Villarreal	05/27/2003	159 Maple Ln, Gonzales, Texas, 78629	Gonzales	N		3	Student	Fit	765791
Esteban Rocha	08/16/1986	357 Cedar St, Seguin, Texas, 78155	Guadalupe	Y	06/18/2025, Guadalupe	15	Private Sector Employee	Vision Inpaired	876802
